"id_block" "species" "sample_size" "slope_temperature" "slope_rainfall" "abs_slope_temperature" "abs_slope_rainfall" "fam_sys_known50" "fam_sys_inferred50" "coop_num" "hand_wing_index" "migration" "mass" "logmass" "latitude" "abs_latitude"
"1" "1000_1" "Spatula_clypeata" 24 -0.424883224175333 0.139043133187333 0.424883224175333 0.139043133187333 "no_fam" "1_no_fam" 1 58 3 612.6 6.41771219439867 20 20
"2" "1000006_1" "Geronticus_eremita" 12 -0.103148939082667 0.0267444632107 0.103148939082667 0.0267444632107 "family" "2_family" 2 42.8 3 1202 7.09174211509515 30.08333 30.08333
"3" "1006_1" "Anas_platyrhynchos" 24 -0.139957672514233 0.0321780158089 0.139957672514233 0.0321780158089 "no_fam" "1_no_fam" 1 50.7 2 843.4 6.73744134131246 20 20
"4" "1011_1" "Spatula_discors" 24 -0.118749266757867 -0.0568680760764 0.118749266757867 0.0568680760764 "no_fam" "1_no_fam" 1 53.8 3 359.4 5.88443597434946 26 26
"5" "1012_1" "Anas_fulvigula" 24 -0.0970255226023333 0.00310911869462 0.0970255226023333 0.00310911869462 "no_fam" "1_no_fam" 1 48.8 2 843.4 6.73744134131246 20 20
"6" "10129_3" "Pygoscelis_adeliae" 11 -0.15050566944 -0.0333626274364 0.15050566944 0.0333626274364 "no_fam" "1_no_fam" 1 7.4 2 4847.7 8.48625964464631 -62.22 62.22
"7" "1015_1" "Anas_platyrhynchos" 15 -0.013177588596 0.0217525598885333 0.013177588596 0.0217525598885333 "no_fam" "1_no_fam" 1 50.7 2 843.4 6.73744134131246 20 20
"8" "10190_1" "Aptenodytes_forsteri" 43 -0.0691521379346667 -0.0361659387151333 0.0691521379346667 0.0361659387151333 "no_fam" "1_no_fam" 1 3.7 2 33569.3 10.4213672378055 -66.66667 66.66667
"9" "10199_1" "Pygoscelis_papua" 14 0.0794349561804667 -0.0248547569065767 0.0794349561804667 0.0248547569065767 "no_fam" "1_no_fam" 1 5 2 5933 8.68828526625864 -46.90333 46.90333
"10" "1020_1" "Mareca_strepera" 24 -0.0771556751873333 0.00815799552916667 0.0771556751873333 0.00815799552916667 "no_fam" "1_no_fam" 1 54.8 2 915.6 6.81957958807841 20 20
"11" "10200_4" "Eudyptes_chrysolophus" 15 0.187386052160333 0.027674746384 0.187386052160333 0.027674746384 "no_fam" "1_no_fam" 1 5.8 2 4485.1 8.40851607078837 -46.90333 46.90333
"12" "10201_1" "Eudyptes_chrysolophus" 25 0.0191669955158333 0.00521182488231333 0.0191669955158333 0.00521182488231333 "no_fam" "1_no_fam" 1 5.8 2 4485.1 8.40851607078837 -46.90333 46.90333
"13" "10205_1" "Eudyptes_chrysolophus" 25 -0.248450953883 -0.0218565860618333 0.248450953883 0.0218565860618333 "no_fam" "1_no_fam" 1 5.8 2 4485.1 8.40851607078837 -46.90333 46.90333
"14" "10206_1" "Eudyptes_chrysolophus" 25 -0.128311308151833 0.0141970670538133 0.128311308151833 0.0141970670538133 "no_fam" "1_no_fam" 1 5.8 2 4485.1 8.40851607078837 -46.90333 46.90333
"15" "10207_1" "Eudyptes_chrysolophus" 25 -0.0843834834166667 -0.0791779946808 0.0843834834166667 0.0791779946808 "no_fam" "1_no_fam" 1 5.8 2 4485.1 8.40851607078837 -46.90333 46.90333
"16" "10208_1" "Eudyptes_chrysocome" 21 -0.0561123293715333 0.00516649232466667 0.0561123293715333 0.00516649232466667 "no_fam" "1_no_fam" 1 6.5 2 2327.9 7.75272185260226 -46.90333 46.90333
"17" "10209_1" "Eudyptes_chrysocome" 21 0.0498679713699333 0.0268345616608667 0.0498679713699333 0.0268345616608667 "no_fam" "1_no_fam" 1 6.5 2 2327.9 7.75272185260226 -46.90333 46.90333
"18" "10211_1" "Pygoscelis_papua" 27 0.234694198921667 0.0686045787232667 0.234694198921667 0.0686045787232667 "no_fam" "1_no_fam" 1 5 2 5933 8.68828526625864 -54.00444 54.00444
"19" "10219_2" "Pygoscelis_adeliae" 24 -0.00549260419916667 -0.00982714552063333 0.00549260419916667 0.00982714552063333 "no_fam" "1_no_fam" 1 7.4 2 4847.7 8.48625964464631 -69.02639 69.02639
"20" "1022_1" "Aythya_affinis" 24 0.280240688357667 -0.0553526460957333 0.280240688357667 0.0553526460957333 "no_fam" "1_no_fam" 1 51 3 819.5 6.70869439818388 20 20
"21" "10220_6" "Pygoscelis_adeliae" 24 0.0894095638991667 0.169531095821333 0.0894095638991667 0.169531095821333 "no_fam" "1_no_fam" 1 7.4 2 4847.7 8.48625964464631 -69.01667 69.01667
"22" "10221_5" "Pygoscelis_adeliae" 9 -0.185168592594933 -0.100271399637333 0.185168592594933 0.100271399637333 "no_fam" "1_no_fam" 1 7.4 2 4847.7 8.48625964464631 -69.04083 69.04083
"23" "10222_2" "Pygoscelis_adeliae" 22 0.0313914268760667 0.0318640877473333 0.0313914268760667 0.0318640877473333 "no_fam" "1_no_fam" 1 7.4 2 4847.7 8.48625964464631 -69.14167 69.14167
